round,name,score,score_sum,s2_round,s2_name,s2_score,s2_score_sum,s3_round,s3_name,s3_score,s3_score_sum,s3_correct_results,s3_correct_scores
1.0,andy,11.0,11.0,1.0,andy,4.0,4.0,1,andy,17,17,,
1.0,david,11.0,11.0,1.0,david,9.0,9.0,1,david,14,14,,
1.0,jake,14.0,14.0,1.0,ed,4.0,4.0,1,ed,11,11,,
1.0,james,8.0,8.0,1.0,jack,8.0,8.0,1,jack,6,6,,
1.0,jonnie,6.0,6.0,1.0,jake,4.0,4.0,1,jake,13,13,,
1.0,josh,0.0,0.0,1.0,james,4.0,4.0,1,james,13,13,,
1.0,sam,0.0,0.0,1.0,jonnie,9.0,9.0,1,jonnie,11,11,,
2.0,andy,7.0,18.0,1.0,josh,12.0,12.0,1,josh,19,19,,
2.0,david,11.0,22.0,1.0,sam,9.0,9.0,1,sam,14,14,,
2.0,jake,4.0,18.0,2.0,andy,11.0,15.0,1,tom,16,16,,
2.0,james,5.0,13.0,2.0,david,6.0,15.0,2,andy,12,29,,
2.0,jonnie,6.0,12.0,2.0,ed,11.0,15.0,2,david,8,22,,
2.0,josh,9.0,9.0,2.0,jack,8.0,16.0,2,ed,15,26,,
2.0,sam,6.0,6.0,2.0,jake,6.0,10.0,2,jack,13,19,,
3.0,andy,2.0,20.0,2.0,james,8.0,12.0,2,jake,6,19,,
3.0,david,7.0,29.0,2.0,jonnie,6.0,15.0,2,james,9,22,,
3.0,jake,7.0,25.0,2.0,josh,8.0,20.0,2,jonnie,6,17,,
3.0,james,7.0,20.0,2.0,sam,8.0,17.0,2,josh,10,29,,
3.0,jonnie,10.0,22.0,3.0,andy,4.0,19.0,2,sam,8,22,,
3.0,josh,2.0,11.0,3.0,david,4.0,19.0,2,tom,8,24,,
3.0,sam,2.0,8.0,3.0,ed,6.0,21.0,3,andy,9,38,,
4.0,andy,14.0,34.0,3.0,jack,4.0,20.0,3,david,11,33,,
4.0,david,14.0,43.0,3.0,jake,4.0,14.0,3,ed,13,39,,
4.0,jake,13.0,38.0,3.0,james,6.0,18.0,3,jack,8,27,,
4.0,james,13.0,33.0,3.0,jonnie,4.0,19.0,3,jake,14,33,,
4.0,jonnie,10.0,32.0,3.0,josh,4.0,24.0,3,james,13,35,,
4.0,josh,10.0,21.0,3.0,sam,9.0,26.0,3,jonnie,12,29,,
4.0,sam,13.0,21.0,4.0,andy,4.0,23.0,3,josh,14,43,,
5.0,andy,11.0,45.0,4.0,david,6.0,25.0,3,sam,16,38,,
5.0,david,8.0,51.0,4.0,ed,11.0,32.0,3,tom,0,24,,
5.0,jake,8.0,46.0,4.0,jack,6.0,26.0,4,andy,11,49,,
5.0,james,14.0,47.0,4.0,jake,11.0,25.0,4,david,6,39,,
5.0,jonnie,11.0,43.0,4.0,james,8.0,26.0,4,ed,8,47,,
5.0,josh,0.0,21.0,4.0,jonnie,8.0,27.0,4,jack,11,38,,
5.0,sam,6.0,27.0,4.0,josh,8.0,32.0,4,jake,9,42,,
6.0,andy,6.0,51.0,4.0,sam,8.0,34.0,4,james,10,45,,
6.0,david,7.0,58.0,5.0,andy,4.0,27.0,4,jonnie,13,42,,
6.0,jake,9.0,55.0,5.0,david,11.0,36.0,4,josh,13,56,,
6.0,james,8.0,55.0,5.0,ed,10.0,42.0,4,sam,13,51,,
6.0,jonnie,9.0,52.0,5.0,jack,10.0,36.0,4,tom,8,32,,
6.0,josh,6.0,27.0,5.0,jake,16.0,41.0,5,andy,13,62,,
6.0,sam,9.0,36.0,5.0,james,15.0,41.0,5,david,10,49,,
7.0,andy,11.0,62.0,5.0,jonnie,15.0,42.0,5,ed,10,57,,
7.0,david,11.0,69.0,5.0,josh,8.0,40.0,5,jack,10,48,,
7.0,jake,19.0,74.0,5.0,sam,10.0,44.0,5,jake,11,53,,
7.0,james,13.0,68.0,6.0,andy,8.0,35.0,5,james,10,55,,
7.0,jonnie,13.0,65.0,6.0,david,8.0,44.0,5,jonnie,10,52,,
7.0,josh,0.0,27.0,6.0,ed,0.0,42.0,5,josh,13,69,,
7.0,sam,13.0,49.0,6.0,jack,8.0,44.0,5,sam,10,61,,
8.0,andy,9.0,71.0,6.0,jake,13.0,54.0,5,tom,14,46,,
8.0,david,11.0,80.0,6.0,james,13.0,54.0,6,andy,8,70,,
8.0,jake,8.0,82.0,6.0,jonnie,13.0,55.0,6,david,11,60,,
8.0,james,14.0,82.0,6.0,josh,6.0,46.0,6,ed,16,73,,
8.0,jonnie,8.0,73.0,6.0,sam,11.0,55.0,6,jack,4,52,,
8.0,josh,0.0,27.0,7.0,andy,9.0,44.0,6,jake,11,64,,
8.0,sam,11.0,60.0,7.0,david,11.0,55.0,6,james,8,63,,
9.0,andy,14.0,85.0,7.0,ed,8.0,50.0,6,jonnie,14,66,,
9.0,david,4.0,84.0,7.0,jack,7.0,51.0,6,josh,8,77,,
9.0,jake,2.0,84.0,7.0,jake,9.0,63.0,6,sam,8,69,,
9.0,james,6.0,88.0,7.0,james,6.0,60.0,6,tom,9,55,,
9.0,jonnie,9.0,82.0,7.0,jonnie,6.0,61.0,7,andy,10,80,,
9.0,josh,9.0,36.0,7.0,josh,4.0,50.0,7,david,8,68,,
9.0,sam,4.0,64.0,7.0,sam,4.0,59.0,7,ed,10,83,,
10.0,andy,8.0,93.0,8.0,andy,8.0,52.0,7,jack,10,62,,
10.0,david,14.0,98.0,8.0,david,12.0,67.0,7,jake,10,74,,
10.0,jake,2.0,86.0,8.0,ed,9.0,59.0,7,james,10,73,,
10.0,james,16.0,104.0,8.0,jack,6.0,57.0,7,jonnie,13,79,,
10.0,jonnie,4.0,86.0,8.0,jake,6.0,69.0,7,josh,10,87,,
10.0,josh,0.0,36.0,8.0,james,10.0,70.0,7,sam,0,69,,
10.0,sam,9.0,73.0,8.0,jonnie,6.0,67.0,7,tom,10,65,,
11.0,andy,7.0,100.0,8.0,josh,6.0,56.0,8,andy,6,86,,
11.0,david,9.0,107.0,8.0,sam,8.0,67.0,8,david,11,79,,
11.0,jake,11.0,97.0,9.0,andy,9.0,61.0,8,ed,11,94,,
11.0,james,6.0,110.0,9.0,david,12.0,79.0,8,jack,8,70,,
11.0,jonnie,11.0,97.0,9.0,ed,7.0,66.0,8,jake,4,78,,
11.0,josh,6.0,42.0,9.0,jack,7.0,64.0,8,james,11,84,,
11.0,sam,12.0,85.0,9.0,jake,9.0,78.0,8,jonnie,6,85,,
12.0,andy,13.0,113.0,9.0,james,12.0,82.0,8,josh,11,98,,
12.0,david,8.0,115.0,9.0,jonnie,9.0,76.0,8,sam,6,75,,
12.0,jake,16.0,113.0,9.0,josh,9.0,65.0,8,tom,8,73,,
12.0,james,15.0,125.0,9.0,sam,7.0,74.0,9,andy,14,100,,
12.0,jonnie,11.0,108.0,10.0,andy,7.0,68.0,9,david,6,85,,
12.0,josh,0.0,42.0,10.0,david,4.0,83.0,9,ed,11,105,,
12.0,sam,9.0,94.0,10.0,ed,6.0,72.0,9,jack,8,78,,
13.0,andy,6.0,119.0,10.0,jack,9.0,73.0,9,jake,11,89,,
13.0,david,6.0,121.0,10.0,jake,7.0,85.0,9,james,8,92,,
13.0,jake,6.0,119.0,10.0,james,9.0,91.0,9,jonnie,11,96,,
13.0,james,6.0,131.0,10.0,jonnie,9.0,85.0,9,josh,11,109,,
13.0,jonnie,8.0,116.0,10.0,josh,8.0,73.0,9,sam,0,75,,
13.0,josh,13.0,55.0,10.0,sam,9.0,83.0,9,tom,8,81,,
13.0,sam,9.0,103.0,11.0,andy,9.0,77.0,10,andy,6,106,,
14.0,andy,17.0,136.0,11.0,david,11.0,94.0,10,david,6,91,,
14.0,david,10.0,131.0,11.0,ed,4.0,76.0,10,ed,6,111,,
14.0,jake,7.0,126.0,11.0,jack,7.0,80.0,10,jack,6,84,,
14.0,james,14.0,145.0,11.0,jake,6.0,91.0,10,jake,6,95,,
14.0,jonnie,7.0,123.0,11.0,james,6.0,97.0,10,james,6,98,,
14.0,josh,6.0,61.0,11.0,jonnie,6.0,91.0,10,jonnie,6,102,,
14.0,sam,9.0,112.0,11.0,josh,7.0,80.0,10,josh,4,113,,
15.0,andy,9.0,145.0,11.0,sam,9.0,92.0,10,sam,6,81,,
15.0,david,4.0,135.0,12.0,andy,8.0,85.0,10,tom,4,85,,
15.0,jake,4.0,130.0,12.0,david,16.0,110.0,11,andy,7,113,,
15.0,james,6.0,151.0,12.0,ed,8.0,84.0,11,david,9,100,,
15.0,jonnie,6.0,129.0,12.0,jack,13.0,93.0,11,ed,8,119,,
15.0,josh,4.0,65.0,12.0,jake,12.0,103.0,11,jack,14,98,,
15.0,sam,4.0,116.0,12.0,james,11.0,108.0,11,jake,6,101,,
16.0,andy,4.0,149.0,12.0,jonnie,8.0,99.0,11,james,11,109,,
16.0,david,7.0,142.0,12.0,josh,7.0,87.0,11,jonnie,9,111,,
16.0,jake,4.0,134.0,12.0,sam,10.0,102.0,11,josh,9,122,,
16.0,james,4.0,155.0,13.0,andy,6.0,91.0,11,sam,6,87,,
16.0,jonnie,4.0,133.0,13.0,david,8.0,118.0,11,tom,9,94,,
16.0,josh,6.0,71.0,13.0,ed,0.0,84.0,12,andy,11,124,,
16.0,sam,2.0,118.0,13.0,jack,8.0,101.0,12,david,10,110,,
17.0,andy,4.0,153.0,13.0,jake,11.0,114.0,12,ed,10,129,,
17.0,david,16.0,158.0,13.0,james,6.0,114.0,12,jack,10,108,,
17.0,jake,4.0,138.0,13.0,jonnie,11.0,110.0,12,jake,12,113,,
17.0,james,4.0,159.0,13.0,josh,11.0,98.0,12,james,11,120,,
17.0,jonnie,6.0,139.0,13.0,sam,8.0,110.0,12,jonnie,10,121,,
17.0,josh,11.0,82.0,14.0,andy,7.0,98.0,12,josh,10,132,,
17.0,sam,9.0,127.0,14.0,david,6.0,124.0,12,sam,10,97,,
18.0,andy,6.0,159.0,14.0,ed,11.0,95.0,12,tom,10,104,,
18.0,david,7.0,165.0,14.0,jack,6.0,107.0,13,andy,6,130,,
18.0,jake,8.0,146.0,14.0,jake,6.0,120.0,13,david,9,119,,
18.0,james,8.0,167.0,14.0,james,11.0,125.0,13,ed,9,138,,
18.0,jonnie,6.0,145.0,14.0,jonnie,9.0,119.0,13,jack,17,125,,
18.0,josh,6.0,88.0,14.0,josh,6.0,104.0,13,jake,12,125,,
18.0,sam,6.0,133.0,14.0,sam,6.0,116.0,13,james,4,124,,
19.0,andy,8.0,167.0,15.0,andy,6.0,104.0,13,jonnie,11,132,,
19.0,david,13.0,178.0,15.0,david,4.0,128.0,13,josh,17,149,,
19.0,jake,10.0,156.0,15.0,ed,4.0,99.0,13,sam,7,104,,
19.0,james,16.0,183.0,15.0,jack,10.0,117.0,13,tom,4,108,,
19.0,jonnie,8.0,153.0,15.0,jake,6.0,126.0,14,andy,14,144,,
19.0,josh,19.0,107.0,15.0,james,6.0,131.0,14,david,4,123,,
19.0,sam,18.0,151.0,15.0,jonnie,8.0,127.0,14,ed,9,147,,
20.0,andy,4.0,171.0,15.0,josh,10.0,114.0,14,jack,6,131,,
20.0,david,6.0,184.0,15.0,sam,8.0,124.0,14,jake,9,134,,
20.0,jake,8.0,164.0,16.0,andy,4.0,108.0,14,james,6,130,,
20.0,james,13.0,196.0,16.0,david,4.0,132.0,14,jonnie,9,141,,
20.0,jonnie,6.0,159.0,16.0,ed,2.0,101.0,14,josh,9,158,,
20.0,josh,11.0,118.0,16.0,jack,9.0,126.0,14,sam,8,112,,
20.0,sam,13.0,164.0,16.0,jake,4.0,130.0,14,tom,9,117,,
21.0,andy,5.0,176.0,16.0,james,4.0,135.0,15,andy,10,154,,
21.0,david,2.0,186.0,16.0,jonnie,2.0,129.0,15,david,2,125,,
21.0,jake,2.0,166.0,16.0,josh,2.0,116.0,15,ed,4,151,,
21.0,james,2.0,198.0,16.0,sam,2.0,126.0,15,jack,9,140,,
21.0,jonnie,2.0,161.0,17.0,andy,19.0,127.0,15,jake,9,143,,
21.0,josh,2.0,120.0,17.0,david,12.0,144.0,15,james,7,137,,
21.0,sam,4.0,168.0,17.0,ed,14.0,115.0,15,jonnie,4,145,,
22.0,andy,10.0,186.0,17.0,jack,17.0,143.0,15,josh,6,164,,
22.0,david,14.0,200.0,17.0,jake,11.0,141.0,15,sam,6,118,,
22.0,jake,8.0,174.0,17.0,james,6.0,141.0,15,tom,6,123,,
22.0,james,15.0,213.0,17.0,jonnie,17.0,146.0,16,andy,4,158,,
22.0,jonnie,15.0,176.0,17.0,josh,8.0,124.0,16,david,2,127,,
22.0,josh,11.0,131.0,17.0,sam,14.0,140.0,16,ed,4,155,,
22.0,sam,11.0,179.0,18.0,andy,6.0,133.0,16,jack,2,142,,
23.0,andy,0.0,186.0,18.0,david,4.0,148.0,16,jake,2,145,,
23.0,david,9.0,209.0,18.0,ed,8.0,123.0,16,james,4,141,,
