round,name,score,score_sum,,s2_round,s2_name,s2_score,s2_score_sum,,s3_round,s3_name,s3_score,s3_score_sum
1,andy,11,11,,1,andy,4,4,,1,andy,17,17
1,david,11,11,,1,david,9,9,,1,david,14,14
1,jake,14,14,,1,ed,4,4,,1,ed,11,11
1,james,8,8,,1,jack,8,8,,1,jack,6,6
1,jonnie,6,6,,1,jake,4,4,,1,jake,13,13
1,josh,0,0,,1,james,4,4,,1,james,13,13
1,sam,0,0,,1,jonnie,9,9,,1,jonnie,11,11
2,andy,7,18,,1,josh,12,12,,1,josh,19,19
2,david,11,22,,1,sam,9,9,,1,sam,14,14
2,jake,4,18,,2,andy,11,15,,1,tom,16,16
2,james,5,13,,2,david,6,15,,2,andy,12,29
2,jonnie,6,12,,2,ed,11,15,,2,david,8,22
2,josh,9,9,,2,jack,8,16,,2,ed,15,26
2,sam,6,6,,2,jake,6,10,,2,jack,13,19
3,andy,2,20,,2,james,8,12,,2,jake,6,19
3,david,7,29,,2,jonnie,6,15,,2,james,9,22
3,jake,7,25,,2,josh,8,20,,2,jonnie,6,17
3,james,7,20,,2,sam,8,17,,2,josh,10,29
3,jonnie,10,22,,3,andy,4,19,,2,sam,8,22
3,josh,2,11,,3,david,4,19,,2,tom,8,24
3,sam,2,8,,3,ed,6,21,,3,andy,9,38
4,andy,14,34,,3,jack,4,20,,3,david,11,33
4,david,14,43,,3,jake,4,14,,3,ed,13,39
4,jake,13,38,,3,james,6,18,,3,jack,8,27
4,james,13,33,,3,jonnie,4,19,,3,jake,14,33
4,jonnie,10,32,,3,josh,4,24,,3,james,13,35
4,josh,10,21,,3,sam,9,26,,3,jonnie,12,29
4,sam,13,21,,4,andy,4,23,,3,josh,14,43
5,andy,11,45,,4,david,6,25,,3,sam,16,38
5,david,8,51,,4,ed,11,32,,3,tom,0,24
5,jake,8,46,,4,jack,6,26,,4,andy,11,49
5,james,14,47,,4,jake,11,25,,4,david,6,39
5,jonnie,11,43,,4,james,8,26,,4,ed,8,47
5,josh,0,21,,4,jonnie,8,27,,4,jack,11,38
5,sam,6,27,,4,josh,8,32,,4,jake,9,42
6,andy,6,51,,4,sam,8,34,,4,james,10,45
6,david,7,58,,5,andy,4,27,,4,jonnie,13,42
6,jake,9,55,,5,david,11,36,,4,josh,13,56
6,james,8,55,,5,ed,10,42,,4,sam,13,51
6,jonnie,9,52,,5,jack,10,36,,4,tom,8,32
6,josh,6,27,,5,jake,16,41,,5,andy,13,62
6,sam,9,36,,5,james,15,41,,5,david,10,49
7,andy,11,62,,5,jonnie,15,42,,5,ed,10,57
7,david,11,69,,5,josh,8,40,,5,jack,10,48
7,jake,19,74,,5,sam,10,44,,5,jake,11,53
7,james,13,68,,6,andy,8,35,,5,james,10,55
7,jonnie,13,65,,6,david,8,44,,5,jonnie,10,52
7,josh,0,27,,6,ed,0,42,,5,josh,13,69
7,sam,13,49,,6,jack,8,44,,5,sam,10,61
8,andy,9,71,,6,jake,13,54,,5,tom,14,46
8,david,11,80,,6,james,13,54,,6,andy,8,70
8,jake,8,82,,6,jonnie,13,55,,6,david,11,60
8,james,14,82,,6,josh,6,46,,6,ed,16,73
8,jonnie,8,73,,6,sam,11,55,,6,jack,4,52
8,josh,0,27,,7,andy,9,44,,6,jake,11,64
8,sam,11,60,,7,david,11,55,,6,james,8,63
9,andy,14,85,,7,ed,8,50,,6,jonnie,14,66
9,david,4,84,,7,jack,7,51,,6,josh,8,77
9,jake,2,84,,7,jake,9,63,,6,sam,8,69
9,james,6,88,,7,james,6,60,,6,tom,9,55
9,jonnie,9,82,,7,jonnie,6,61,,7,andy,10,80
9,josh,9,36,,7,josh,4,50,,7,david,8,68
9,sam,4,64,,7,sam,4,59,,7,ed,10,83
10,andy,8,93,,8,andy,8,52,,7,jack,10,62
10,david,14,98,,8,david,12,67,,7,jake,10,74
10,jake,2,86,,8,ed,9,59,,7,james,10,73
10,james,16,104,,8,jack,6,57,,7,jonnie,13,79
10,jonnie,4,86,,8,jake,6,69,,7,josh,10,87
10,josh,0,36,,8,james,10,70,,7,sam,0,69
10,sam,9,73,,8,jonnie,6,67,,7,tom,10,65
11,andy,7,100,,8,josh,6,56,,8,andy,6,86
11,david,9,107,,8,sam,8,67,,8,david,11,79
11,jake,11,97,,9,andy,9,61,,8,ed,11,94
11,james,6,110,,9,david,12,79,,8,jack,8,70
11,jonnie,11,97,,9,ed,7,66,,8,jake,4,78
11,josh,6,42,,9,jack,7,64,,8,james,11,84
11,sam,12,85,,9,jake,9,78,,8,jonnie,6,85
12,andy,13,113,,9,james,12,82,,8,josh,11,98
12,david,8,115,,9,jonnie,9,76,,8,sam,6,75
12,jake,16,113,,9,josh,9,65,,8,tom,8,73
12,james,15,125,,9,sam,7,74,,9,andy,14,100
12,jonnie,11,108,,10,andy,7,68,,9,david,6,85
12,josh,0,42,,10,david,4,83,,9,ed,11,105
12,sam,9,94,,10,ed,6,72,,9,jack,8,78
13,andy,6,119,,10,jack,9,73,,9,jake,11,89
13,david,6,121,,10,jake,7,85,,9,james,8,92
13,jake,6,119,,10,james,9,91,,9,jonnie,11,96
13,james,6,131,,10,jonnie,9,85,,9,josh,11,109
13,jonnie,8,116,,10,josh,8,73,,9,sam,0,75
13,josh,13,55,,10,sam,9,83,,9,tom,8,81
13,sam,9,103,,11,andy,9,77,,10,andy,6,106
14,andy,17,136,,11,david,11,94,,10,david,6,91
14,david,10,131,,11,ed,4,76,,10,ed,6,111
14,jake,7,126,,11,jack,7,80,,10,jack,6,84
14,james,14,145,,11,jake,6,91,,10,jake,6,95
14,jonnie,7,123,,11,james,6,97,,10,james,6,98
14,josh,6,61,,11,jonnie,6,91,,10,jonnie,6,102
14,sam,9,112,,11,josh,7,80,,10,josh,4,113
15,andy,9,145,,11,sam,9,92,,10,sam,6,81
15,david,4,135,,12,andy,8,85,,10,tom,4,85
15,jake,4,130,,12,david,16,110,,11,andy,7,113
15,james,6,151,,12,ed,8,84,,11,david,9,100
15,jonnie,6,129,,12,jack,13,93,,11,ed,8,119
15,josh,4,65,,12,jake,12,103,,11,jack,14,98
15,sam,4,116,,12,james,11,108,,11,jake,6,101
16,andy,4,149,,12,jonnie,8,99,,11,james,11,109
16,david,7,142,,12,josh,7,87,,11,jonnie,9,111
16,jake,4,134,,12,sam,10,102,,11,josh,9,122
16,james,4,155,,13,andy,6,91,,11,sam,6,87
16,jonnie,4,133,,13,david,8,118,,11,tom,9,94
16,josh,6,71,,13,ed,0,84,,12,andy,11,124
16,sam,2,118,,13,jack,8,101,,12,david,10,110
17,andy,4,153,,13,jake,11,114,,12,ed,10,129
17,david,16,158,,13,james,6,114,,12,jack,10,108
17,jake,4,138,,13,jonnie,11,110,,12,jake,12,113
17,james,4,159,,13,josh,11,98,,12,james,11,120
17,jonnie,6,139,,13,sam,8,110,,12,jonnie,10,121
17,josh,11,82,,14,andy,7,98,,12,josh,10,132
17,sam,9,127,,14,david,6,124,,12,sam,10,97
18,andy,6,159,,14,ed,11,95,,12,tom,10,104
18,david,7,165,,14,jack,6,107,,13,andy,6,130
18,jake,8,146,,14,jake,6,120,,13,david,9,119
